IATA_CODE,AIRPORT,CITY,STATE,COUNTRY
RDM,Redmond Municipal AirportÂ (Roberts Field),Redmond,OR,USA
RDU,Raleigh-Durham International Airport,Raleigh,NC,USA
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,USA
RIC,Richmond International Airport,Richmond,VA,USA
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,USA
RNO,Reno/Tahoe International Airport,Reno,NV,USA
ROA,Roanoke Regional AirportÂ (Woodrum Field),Roanoke,VA,USA
ROC,Greater Rochester International Airport,Rochester,NY,USA
ROW,Roswell International Air Center,Roswell,NM,USA
RST,Rochester International Airport,Rochester,MN,USA
RSW,Southwest Florida International Airport,Ft. Myers,FL,USA
SAF,Santa Fe Municipal Airport,Santa Fe,NM,USA
SAN,San Diego International AirportÂ (Lindbergh Field),San Diego,CA,USA
SAT,San Antonio International Airport,San Antonio,TX,USA
SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA
SBA,Santa Barbara Municipal AirportÂ (Santa Barbara Airport),Santa Barbara,CA,USA
SBN,South Bend International AirportÂ (South Bend Regional),South Bend,IN,USA
SBP,San Luis Obispo County Regional AirportÂ (McChesney Field),San Luis Obispo,CA,USA
SCC,Deadhorse AirportÂ (Prudhoe Bay Airport),Deadhorse,AK,USA
SCE,University Park Airport,State College,PA,USA
SDF,Louisville International AirportÂ (Standiford Field),Louisville,KY,USA
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA
SFO,San Francisco International Airport,San Francisco,CA,USA
SGF,Springfield-Branson National Airport,Springfield,MO,USA
SGU,St. George Regional Airport,St George,UT,USA
SHV,Shreveport Regional Airport,Shreveport,LA,USA
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA
SJC,Norman Y. Mineta San JosÃ© International Airport,San Jose,CA,USA
SJT,San Angelo Regional AirportÂ (Mathis Field),San Angelo,TX,USA
SJU,Luis MuÃ±oz MarÃ­n International Airport,San Juan,PR,USA
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA
SMF,Sacramento International Airport,Sacramento,CA,USA
SMX,Santa Maria Public AirportÂ (Capt G. Allan Hancock Field),Santa Maria,CA,USA
SNA,John Wayne AirportÂ (Orange County Airport),Santa Ana,CA,USA
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA
STC,St. Cloud Regional Airport,St Cloud,MN,USA
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA
SUN,Friedman Memorial Airport,Hailey,ID,USA
